Station,Year,Month,Mean,Max,Min,Mode
AL007,2021,1,1011.7765410958904,1028.16,992.38,1011.32
AL007,2021,2,1019.9838461538462,1037.92,997.53,1017.06
AL007,2021,3,1019.5692307692308,1032.74,1003.31,1010.43
AL007,2021,4,1015.6158461538461,1029.6,999.38,1011.86
AL007,2021,5,1015.3313636363636,1021.88,1008.42,1017.12
AL007,2021,6,1016.2057972027973,1024.32,1009.88,1015.67
AL007,2021,7,1013.0808401084012,1018.08,1004.67,1013.63
AL007,2021,8,1013.2293916609707,1019.81,1007.05,1009.26
AL007,2021,9,1017.4290239410681,1022.38,1011.71,1017.43
AL007,2021,10,1017.6186760752689,1028.95,1006.62,1018.27
AL007,2021,11,1012.8586134453782,1027.45,994.78,1017.23
AL007,2021,12,1014.8441081081081,1029.78,992.12,1001.8
