Station,Year,Month,Mean,Max,Min,Mode
AL007,2013,1,1010.8653951367781,1033.14,991.68,999.71
AL007,2013,2,1010.1227105052126,1023.57,990.34,1015.92
AL007,2013,3,1007.8907685589519,1022.31,985.92,1005.63
AL007,2013,4,1014.8784756995582,1026.97,996.31,1016.06
AL007,2013,5,1011.5409475806451,1019.79,995.99,1011.01
AL007,2013,6,1015.1808770614693,1019.01,1005.83,1016.09
AL007,2013,7,1016.26875672043,1019.48,1011.1,1016.74
AL007,2013,8,1014.6267606602477,1018.73,1008.7,1014.96
AL007,2013,9,1015.3402916666666,1022.78,1002.17,1015.19
AL007,2013,11,1011.4133943661972,1026.61,993.83,1018.56
AL007,2013,12,1023.082553763441,1035.84,994.19,1029.67
