cod_staz,date,T
AL007,2015-01-01 00:30:00,1.366
AL007,2015-01-01 00:59:00,1.428
AL007,2015-01-01 01:30:00,1.627
AL007,2015-01-01 01:59:00,1.778
AL007,2015-01-01 02:30:00,2.006
AL007,2015-01-01 02:59:00,2.26
AL007,2015-01-01 03:30:00,2.362
AL007,2015-01-01 03:59:00,2.129
AL007,2015-01-01 04:30:00,2.199
AL007,2015-01-01 04:59:00,2.347
AL007,2015-01-01 05:30:00,2.368
AL007,2015-01-01 05:59:00,2.265
AL007,2015-01-01 06:30:00,2.363
AL007,2015-01-01 06:59:00,2.426
AL007,2015-01-01 07:30:00,2.426
AL007,2015-01-01 07:59:00,2.557
AL007,2015-01-01 08:30:00,2.658
AL007,2015-01-01 08:59:00,2.995
AL007,2015-01-01 09:30:00,3.426
AL007,2015-01-01 09:59:00,4.135
AL007,2015-01-01 10:30:00,5.151
AL007,2015-01-01 10:59:00,5.826
AL007,2015-01-01 11:30:00,6.479
AL007,2015-01-01 11:59:00,7.312
AL007,2015-01-01 12:30:00,7.99
AL007,2015-01-01 12:59:00,8.346
AL007,2015-01-01 13:30:00,8.431
AL007,2015-01-01 13:59:00,8.768
AL007,2015-01-01 14:30:00,9.37
AL007,2015-01-01 14:59:00,9.861
AL007,2015-01-01 15:30:00,9.863
AL007,2015-01-01 15:59:00,9.435
AL007,2015-01-01 16:30:00,8.736
AL007,2015-01-01 16:59:00,8.097
AL007,2015-01-01 17:30:00,7.241
AL007,2015-01-01 17:59:00,6.788
AL007,2015-01-01 18:30:00,6.521
AL007,2015-01-01 18:59:00,6.234
AL007,2015-01-01 19:30:00,5.952
AL007,2015-01-01 19:59:00,5.796
AL007,2015-01-01 20:30:00,5.517
AL007,2015-01-01 20:59:00,5.063
AL007,2015-01-01 21:30:00,5.021
AL007,2015-01-01 21:59:00,4.716
AL007,2015-01-01 22:30:00,4.826
AL007,2015-01-01 22:59:00,4.819
AL007,2015-01-01 23:30:00,4.967
AL007,2015-01-01 23:59:00,4.885
AL007,2015-01-02 00:30:00,4.773
AL007,2015-01-02 00:59:00,4.702
AL007,2015-01-02 01:30:00,4.593
AL007,2015-01-02 01:59:00,4.582
AL007,2015-01-02 02:30:00,4.257
AL007,2015-01-02 02:59:00,3.88
AL007,2015-01-02 03:30:00,4.066
AL007,2015-01-02 03:59:00,3.762
AL007,2015-01-02 04:30:00,3.687
AL007,2015-01-02 04:59:00,3.671
AL007,2015-01-02 05:30:00,3.428
AL007,2015-01-02 05:59:00,3.163
AL007,2015-01-02 06:30:00,3.224
AL007,2015-01-02 06:59:00,3.287
AL007,2015-01-02 07:30:00,3.739
AL007,2015-01-02 07:59:00,3.687
AL007,2015-01-02 08:30:00,3.946
AL007,2015-01-02 08:59:00,4.231
AL007,2015-01-02 09:30:00,4.784
AL007,2015-01-02 09:59:00,5.332
AL007,2015-01-02 10:30:00,6.345
AL007,2015-01-02 10:59:00,7.431
AL007,2015-01-02 11:30:00,8.377
AL007,2015-01-02 11:59:00,9.351
AL007,2015-01-02 12:30:00,9.85
AL007,2015-01-02 12:59:00,10.562
AL007,2015-01-02 13:30:00,11.26
AL007,2015-01-02 13:59:00,11.752
AL007,2015-01-02 14:30:00,12.092
AL007,2015-01-02 14:59:00,12.402
AL007,2015-01-02 15:30:00,12.728
AL007,2015-01-02 15:59:00,12.727
AL007,2015-01-02 16:30:00,12.187
AL007,2015-01-02 16:59:00,11.236
AL007,2015-01-02 17:30:00,10.688
AL007,2015-01-02 17:59:00,10.366
AL007,2015-01-02 18:30:00,10.305
AL007,2015-01-02 18:59:00,10.38
AL007,2015-01-02 19:30:00,10.01
AL007,2015-01-02 19:59:00,9.459
AL007,2015-01-02 20:30:00,8.566
AL007,2015-01-02 20:59:00,7.67
AL007,2015-01-02 21:30:00,7.115
AL007,2015-01-02 21:59:00,6.857
AL007,2015-01-02 22:30:00,6.62
AL007,2015-01-02 22:59:00,5.869
AL007,2015-01-02 23:30:00,6.23
AL007,2015-01-02 23:59:00,6.653
