cod_staz,date,T
AL007,2021-01-01 00:30:00,3.910
AL007,2021-01-01 00:59:00,3.641
AL007,2021-01-01 01:30:00,3.922
AL007,2021-01-01 01:59:00,4.496
AL007,2021-01-01 02:30:00,4.410
AL007,2021-01-01 02:59:00,4.443
AL007,2021-01-01 03:30:00,4.796
AL007,2021-01-01 03:59:00,5.113
AL007,2021-01-01 04:30:00,4.992
AL007,2021-01-01 04:59:00,4.786
AL007,2021-01-01 05:30:00,4.985
AL007,2021-01-01 05:59:00,5.686
AL007,2021-01-01 06:30:00,6.222
AL007,2021-01-01 06:59:00,7.029
AL007,2021-01-01 07:30:00,7.030
AL007,2021-01-01 07:59:00,7.091
AL007,2021-01-01 08:30:00,7.221
AL007,2021-01-01 08:59:00,7.489
AL007,2021-01-01 09:30:00,8.285
AL007,2021-01-01 09:59:00,8.592
AL007,2021-01-01 10:30:00,8.727
AL007,2021-01-01 10:59:00,8.669
AL007,2021-01-01 11:30:00,9.042
AL007,2021-01-01 11:59:00,9.695
AL007,2021-01-01 12:30:00,9.383
AL007,2021-01-01 12:59:00,9.073
AL007,2021-01-01 13:30:00,9.762
AL007,2021-01-01 13:59:00,10.464
AL007,2021-01-01 14:30:00,11.513
AL007,2021-01-01 14:59:00,10.928
AL007,2021-01-01 15:30:00,10.410
AL007,2021-01-01 15:59:00,10.277
AL007,2021-01-01 16:30:00,9.829
AL007,2021-01-01 16:59:00,8.886
AL007,2021-01-01 17:30:00,8.585
AL007,2021-01-01 17:59:00,8.209
AL007,2021-01-01 18:30:00,7.941
AL007,2021-01-01 18:59:00,8.028
AL007,2021-01-01 19:30:00,8.857
AL007,2021-01-01 19:59:00,8.752
AL007,2021-01-01 20:30:00,9.041
AL007,2021-01-01 20:59:00,9.152
AL007,2021-01-01 21:30:00,9.286
AL007,2021-01-01 21:59:00,9.025
AL007,2021-01-01 22:30:00,8.857
AL007,2021-01-01 22:59:00,8.744
AL007,2021-01-01 23:30:00,9.398
AL007,2021-01-01 23:59:00,9.530
AL007,2021-01-02 00:30:00,8.893
AL007,2021-01-02 00:59:00,8.573
AL007,2021-01-02 01:30:00,8.496
AL007,2021-01-02 01:59:00,8.942
AL007,2021-01-02 02:30:00,9.157
AL007,2021-01-02 02:59:00,9.397
AL007,2021-01-02 03:30:00,8.995
AL007,2021-01-02 03:59:00,8.568
AL007,2021-01-02 04:30:00,8.620
AL007,2021-01-02 04:59:00,8.595
AL007,2021-01-02 05:30:00,8.483
AL007,2021-01-02 05:59:00,8.325
AL007,2021-01-02 06:30:00,8.383
AL007,2021-01-02 06:59:00,8.475
AL007,2021-01-02 07:30:00,8.869
AL007,2021-01-02 07:59:00,9.385
AL007,2021-01-02 08:30:00,9.478
AL007,2021-01-02 08:59:00,9.550
AL007,2021-01-02 09:30:00,9.778
AL007,2021-01-02 09:59:00,11.558
AL007,2021-01-02 10:30:00,12.431
AL007,2021-01-02 10:59:00,12.043
AL007,2021-01-02 11:30:00,11.217
AL007,2021-01-02 11:59:00,12.159
AL007,2021-01-02 12:30:00,12.878
AL007,2021-01-02 12:59:00,11.941
AL007,2021-01-02 13:30:00,11.594
AL007,2021-01-02 13:59:00,10.393
AL007,2021-01-02 14:30:00,10.133
AL007,2021-01-02 14:59:00,10.942
AL007,2021-01-02 15:30:00,11.536
AL007,2021-01-02 15:59:00,11.287
AL007,2021-01-02 16:30:00,11.151
AL007,2021-01-02 16:59:00,11.281
AL007,2021-01-02 17:30:00,10.962
AL007,2021-01-02 17:59:00,10.727
AL007,2021-01-02 18:30:00,10.352
AL007,2021-01-02 18:59:00,9.539
AL007,2021-01-02 19:30:00,9.148
AL007,2021-01-02 19:59:00,8.717
AL007,2021-01-02 20:30:00,8.339
AL007,2021-01-02 20:59:00,7.820
AL007,2021-01-02 21:30:00,7.971
AL007,2021-01-02 21:59:00,7.770
AL007,2021-01-02 22:30:00,7.677
AL007,2021-01-02 22:59:00,7.730
AL007,2021-01-02 23:30:00,7.719
AL007,2021-01-02 23:59:00,7.933
AL007,2021-01-03 00:30:00,8.276
AL007,2021-01-03 00:59:00,7.782
AL007,2021-01-03 01:30:00,7.414
AL007,2021-01-03 01:59:00,7.339
AL007,2021-01-03 02:30:00,7.479
AL007,2021-01-03 02:59:00,7.858
AL007,2021-01-03 03:30:00,7.796
AL007,2021-01-03 03:59:00,7.188
AL007,2021-01-03 04:30:00,7.124
AL007,2021-01-03 04:59:00,7.260
AL007,2021-01-03 05:30:00,6.899
AL007,2021-01-03 05:59:00,6.948
AL007,2021-01-03 06:30:00,7.028
AL007,2021-01-03 06:59:00,7.110
AL007,2021-01-03 07:30:00,7.094
AL007,2021-01-03 07:59:00,6.973
AL007,2021-01-03 08:30:00,6.891
AL007,2021-01-03 08:59:00,7.164
AL007,2021-01-03 09:30:00,7.506
AL007,2021-01-03 09:59:00,7.539
AL007,2021-01-03 10:30:00,7.501
AL007,2021-01-03 10:59:00,7.408
AL007,2021-01-03 11:30:00,7.421
AL007,2021-01-03 11:59:00,6.751
AL007,2021-01-03 12:30:00,6.318
AL007,2021-01-03 12:59:00,6.152
AL007,2021-01-03 13:30:00,6.188
AL007,2021-01-03 13:59:00,6.108
AL007,2021-01-03 14:30:00,5.811
AL007,2021-01-03 14:59:00,5.712
AL007,2021-01-03 15:30:00,5.821
AL007,2021-01-03 15:59:00,6.074
AL007,2021-01-03 16:30:00,6.172
AL007,2021-01-03 16:59:00,6.297
AL007,2021-01-03 17:30:00,6.391
AL007,2021-01-03 17:59:00,6.239
AL007,2021-01-03 18:30:00,6.194
AL007,2021-01-03 18:59:00,6.324
AL007,2021-01-03 19:30:00,6.400
AL007,2021-01-03 19:59:00,6.341
AL007,2021-01-03 20:30:00,6.329
AL007,2021-01-03 20:59:00,6.229
AL007,2021-01-03 21:30:00,6.014
AL007,2021-01-03 21:59:00,5.519
AL007,2021-01-03 22:30:00,5.495
AL007,2021-01-03 22:59:00,5.632
AL007,2021-01-03 23:30:00,5.734
AL007,2021-01-03 23:59:00,5.748
AL007,2021-01-04 00:30:00,5.608
AL007,2021-01-04 00:59:00,5.761
AL007,2021-01-04 01:30:00,5.807
AL007,2021-01-04 01:59:00,5.747
AL007,2021-01-04 02:30:00,5.668
AL007,2021-01-04 02:59:00,5.736
AL007,2021-01-04 03:30:00,5.864
AL007,2021-01-04 03:59:00,5.674
AL007,2021-01-04 04:30:00,5.690
AL007,2021-01-04 04:59:00,5.879
AL007,2021-01-04 05:30:00,5.834
AL007,2021-01-04 05:59:00,5.828
AL007,2021-01-04 06:30:00,5.761
AL007,2021-01-04 06:59:00,5.455
AL007,2021-01-04 07:30:00,5.364
AL007,2021-01-04 07:59:00,5.340
AL007,2021-01-04 08:30:00,5.942
AL007,2021-01-04 08:59:00,5.855
AL007,2021-01-04 09:30:00,7.961
AL007,2021-01-04 09:59:00,9.932
AL007,2021-01-04 10:30:00,10.325
AL007,2021-01-04 10:59:00,9.893
AL007,2021-01-04 11:30:00,11.571
AL007,2021-01-04 11:59:00,11.923
AL007,2021-01-04 12:30:00,12.276
AL007,2021-01-04 12:59:00,12.201
AL007,2021-01-04 13:30:00,12.295
AL007,2021-01-04 13:59:00,12.186
AL007,2021-01-04 14:30:00,11.486
AL007,2021-01-04 14:59:00,9.716
AL007,2021-01-04 15:30:00,8.823
AL007,2021-01-04 15:59:00,8.441
AL007,2021-01-04 16:30:00,8.192
AL007,2021-01-04 16:59:00,7.945
AL007,2021-01-04 17:30:00,7.586
AL007,2021-01-04 17:59:00,7.452
AL007,2021-01-04 18:30:00,7.545
AL007,2021-01-04 18:59:00,7.307
AL007,2021-01-04 19:30:00,7.332
AL007,2021-01-04 19:59:00,7.304
AL007,2021-01-04 20:30:00,7.127
AL007,2021-01-04 20:59:00,6.977
AL007,2021-01-04 21:30:00,6.836
AL007,2021-01-04 21:59:00,6.675
AL007,2021-01-04 22:30:00,6.535
AL007,2021-01-04 22:59:00,6.591
AL007,2021-01-04 23:30:00,6.550
AL007,2021-01-04 23:59:00,6.524
AL007,2021-01-05 01:30:00,7.201
AL007,2021-01-05 01:59:00,7.968
AL007,2021-01-05 11:59:00,9.029
AL007,2021-01-05 12:30:00,9.604
AL007,2021-01-05 12:59:00,10.190
AL007,2021-01-05 13:30:00,10.133
AL007,2021-01-05 13:59:00,9.482
AL007,2021-01-05 14:30:00,7.921
AL007,2021-01-05 14:59:00,7.898
AL007,2021-01-05 15:30:00,7.869
AL007,2021-01-05 15:59:00,7.346
AL007,2021-01-05 16:30:00,7.179
AL007,2021-01-05 16:59:00,7.297
AL007,2021-01-05 17:30:00,7.163
AL007,2021-01-05 17:59:00,6.552
AL007,2021-01-05 18:30:00,6.019
AL007,2021-01-05 18:59:00,5.918
AL007,2021-01-05 19:30:00,5.801
AL007,2021-01-05 19:59:00,5.482
AL007,2021-01-05 20:30:00,5.255
AL007,2021-01-05 20:59:00,5.236
AL007,2021-01-05 21:30:00,5.265
AL007,2021-01-05 21:59:00,5.759
AL007,2021-01-05 22:30:00,5.776
AL007,2021-01-05 22:59:00,6.035
AL007,2021-01-05 23:30:00,6.597
AL007,2021-01-05 23:59:00,6.421
AL007,2021-01-06 00:30:00,6.343
AL007,2021-01-06 00:59:00,6.266
AL007,2021-01-06 01:30:00,6.296
AL007,2021-01-06 01:59:00,6.105
AL007,2021-01-06 02:30:00,5.832
AL007,2021-01-06 02:59:00,5.499
AL007,2021-01-06 03:30:00,5.761
AL007,2021-01-06 03:59:00,5.905
AL007,2021-01-06 04:30:00,5.855
AL007,2021-01-06 04:59:00,5.714
AL007,2021-01-06 05:30:00,5.698
AL007,2021-01-06 05:59:00,5.751
AL007,2021-01-06 06:30:00,6.052
AL007,2021-01-06 06:59:00,6.294
AL007,2021-01-06 07:30:00,6.504
AL007,2021-01-06 07:59:00,6.405
AL007,2021-01-06 08:30:00,7.120
AL007,2021-01-06 08:59:00,7.800
AL007,2021-01-06 09:30:00,8.346
AL007,2021-01-06 09:59:00,9.787
AL007,2021-01-06 10:30:00,10.428
AL007,2021-01-06 10:59:00,11.477
AL007,2021-01-06 11:30:00,12.219
AL007,2021-01-06 11:59:00,12.032
AL007,2021-01-06 12:30:00,11.271
AL007,2021-01-06 12:59:00,11.413
AL007,2021-01-06 13:30:00,11.519
AL007,2021-01-06 13:59:00,11.216
AL007,2021-01-06 14:30:00,10.871
AL007,2021-01-06 14:59:00,10.809
AL007,2021-01-06 15:30:00,10.534
AL007,2021-01-06 15:59:00,10.053
AL007,2021-01-06 16:30:00,9.718
AL007,2021-01-06 16:59:00,9.414
AL007,2021-01-06 17:30:00,9.014
AL007,2021-01-06 17:59:00,8.671
AL007,2021-01-06 18:30:00,8.337
AL007,2021-01-06 18:59:00,7.955
AL007,2021-01-06 19:30:00,7.527
AL007,2021-01-06 19:59:00,7.266
AL007,2021-01-06 20:30:00,7.016
AL007,2021-01-06 20:59:00,6.467
AL007,2021-01-06 21:30:00,5.912
AL007,2021-01-06 21:59:00,5.821
AL007,2021-01-06 22:30:00,5.840
AL007,2021-01-06 22:59:00,5.586
AL007,2021-01-06 23:30:00,5.306
AL007,2021-01-06 23:59:00,5.099
AL007,2021-01-07 00:30:00,4.874
AL007,2021-01-07 00:59:00,4.792
AL007,2021-01-07 01:30:00,4.870
AL007,2021-01-07 01:59:00,4.951
AL007,2021-01-07 02:30:00,5.129
AL007,2021-01-07 02:59:00,4.585
AL007,2021-01-07 03:30:00,3.778
AL007,2021-01-07 03:59:00,3.729
AL007,2021-01-07 04:30:00,3.454
AL007,2021-01-07 04:59:00,3.135
AL007,2021-01-07 05:30:00,3.167
AL007,2021-01-07 05:59:00,3.302
AL007,2021-01-07 06:30:00,3.432
AL007,2021-01-07 06:59:00,3.486
AL007,2021-01-07 07:30:00,3.571
AL007,2021-01-07 07:59:00,3.754
AL007,2021-01-07 08:30:00,3.900
AL007,2021-01-07 08:59:00,4.449
AL007,2021-01-07 09:30:00,4.981
AL007,2021-01-07 09:59:00,5.367
AL007,2021-01-07 10:30:00,6.282
AL007,2021-01-07 10:59:00,7.056
AL007,2021-01-07 11:30:00,7.583
AL007,2021-01-07 11:59:00,8.170
AL007,2021-01-07 12:30:00,8.142
AL007,2021-01-07 12:59:00,8.126
AL007,2021-01-07 13:30:00,8.202
AL007,2021-01-07 13:59:00,8.232
AL007,2021-01-07 14:30:00,7.846
AL007,2021-01-07 14:59:00,7.789
AL007,2021-01-07 15:30:00,7.927
AL007,2021-01-07 15:59:00,7.902
AL007,2021-01-07 16:30:00,7.891
AL007,2021-01-07 16:59:00,7.660
AL007,2021-01-07 17:30:00,7.513
AL007,2021-01-07 17:59:00,7.269
AL007,2021-01-07 18:30:00,6.975
AL007,2021-01-07 18:59:00,6.768
AL007,2021-01-07 19:30:00,6.656
AL007,2021-01-07 19:59:00,6.646
AL007,2021-01-07 20:30:00,6.704
AL007,2021-01-07 20:59:00,6.791
AL007,2021-01-07 21:30:00,6.668
AL007,2021-01-07 21:59:00,6.634
AL007,2021-01-07 22:30:00,6.519
AL007,2021-01-07 22:59:00,6.455
AL007,2021-01-07 23:30:00,6.281
AL007,2021-01-07 23:59:00,6.183
AL007,2021-01-08 00:30:00,6.143
AL007,2021-01-08 00:59:00,6.180
AL007,2021-01-08 01:30:00,6.048
AL007,2021-01-08 01:59:00,5.970
AL007,2021-01-08 02:30:00,6.066
AL007,2021-01-08 02:59:00,5.932
AL007,2021-01-08 03:30:00,5.833
AL007,2021-01-08 03:59:00,5.666
AL007,2021-01-08 04:30:00,5.706
AL007,2021-01-08 04:59:00,5.688
AL007,2021-01-08 05:30:00,5.771
AL007,2021-01-08 05:59:00,5.721
AL007,2021-01-08 06:30:00,5.720
AL007,2021-01-08 06:59:00,5.852
AL007,2021-01-08 07:30:00,5.905
AL007,2021-01-08 07:59:00,6.094
AL007,2021-01-08 08:30:00,6.364
AL007,2021-01-08 08:59:00,6.509
AL007,2021-01-08 09:30:00,6.654
AL007,2021-01-08 09:59:00,6.894
AL007,2021-01-08 10:30:00,7.306
AL007,2021-01-08 10:59:00,7.382
AL007,2021-01-08 11:30:00,7.498
AL007,2021-01-08 11:59:00,7.704
AL007,2021-01-08 12:30:00,7.789
AL007,2021-01-08 12:59:00,7.908
AL007,2021-01-08 13:30:00,8.041
AL007,2021-01-08 13:59:00,8.742
AL007,2021-01-08 14:30:00,9.882
AL007,2021-01-08 14:59:00,10.452
AL007,2021-01-08 15:30:00,10.535
AL007,2021-01-08 15:59:00,10.603
AL007,2021-01-08 16:30:00,10.370
AL007,2021-01-08 16:59:00,9.240
AL007,2021-01-08 17:30:00,8.265
AL007,2021-01-08 17:59:00,7.785
AL007,2021-01-08 18:30:00,7.474
AL007,2021-01-08 18:59:00,7.324
AL007,2021-01-08 19:30:00,7.077
AL007,2021-01-08 19:59:00,6.605
AL007,2021-01-08 20:30:00,6.188
AL007,2021-01-08 20:59:00,6.090
AL007,2021-01-08 21:30:00,5.988
AL007,2021-01-08 21:59:00,5.897
AL007,2021-01-08 22:30:00,5.852
AL007,2021-01-08 22:59:00,5.376
AL007,2021-01-08 23:30:00,4.978
AL007,2021-01-08 23:59:00,4.900
AL007,2021-01-09 00:30:00,5.130
AL007,2021-01-09 00:59:00,5.045
AL007,2021-01-09 01:30:00,4.883
AL007,2021-01-09 01:59:00,4.704
AL007,2021-01-09 02:30:00,4.735
AL007,2021-01-09 02:59:00,4.633
AL007,2021-01-09 03:30:00,4.459
AL007,2021-01-09 03:59:00,4.518
AL007,2021-01-09 04:30:00,4.652
AL007,2021-01-09 04:59:00,4.671
AL007,2021-01-09 05:30:00,4.513
AL007,2021-01-09 05:59:00,4.535
AL007,2021-01-09 06:30:00,4.723
AL007,2021-01-09 06:59:00,4.857
AL007,2021-01-09 07:30:00,5.023
AL007,2021-01-09 07:59:00,5.078
AL007,2021-01-09 08:30:00,5.356
AL007,2021-01-09 08:59:00,5.645
AL007,2021-01-09 09:30:00,5.649
AL007,2021-01-09 09:59:00,5.845
AL007,2021-01-09 10:30:00,6.082
AL007,2021-01-09 10:59:00,6.131
AL007,2021-01-09 11:30:00,5.935
AL007,2021-01-09 11:59:00,5.661
AL007,2021-01-09 12:30:00,5.522
AL007,2021-01-09 12:59:00,5.699
AL007,2021-01-09 13:30:00,6.234
AL007,2021-01-09 13:59:00,6.860
AL007,2021-01-09 14:30:00,7.265
AL007,2021-01-09 14:59:00,7.381
AL007,2021-01-09 15:30:00,7.816
AL007,2021-01-09 15:59:00,7.765
AL007,2021-01-09 16:30:00,7.644
AL007,2021-01-09 16:59:00,7.508
AL007,2021-01-09 17:30:00,7.567
AL007,2021-01-09 17:59:00,7.607
AL007,2021-01-09 18:30:00,7.461
AL007,2021-01-09 18:59:00,7.336
AL007,2021-01-09 19:30:00,7.251
AL007,2021-01-09 19:59:00,7.269
AL007,2021-01-09 20:30:00,7.327
AL007,2021-01-09 20:59:00,7.442
AL007,2021-01-09 21:30:00,7.558
AL007,2021-01-09 21:59:00,7.587
AL007,2021-01-09 22:30:00,7.491
AL007,2021-01-09 22:59:00,7.390
AL007,2021-01-09 23:30:00,7.310
AL007,2021-01-09 23:59:00,7.224
AL007,2021-01-10 00:30:00,7.219
AL007,2021-01-10 00:59:00,7.184
AL007,2021-01-10 01:30:00,7.140
AL007,2021-01-10 01:59:00,7.100
AL007,2021-01-10 02:30:00,6.988
AL007,2021-01-10 02:59:00,6.724
AL007,2021-01-10 03:30:00,6.350
AL007,2021-01-10 03:59:00,6.222
