cod_staz,date,T
AL007,2022-01-01 00:30:00,11.56
AL007,2022-01-01 00:59:00,11.341
AL007,2022-01-01 01:30:00,10.597
AL007,2022-01-01 01:59:00,10.73
AL007,2022-01-01 02:30:00,10.193
AL007,2022-01-01 02:59:00,9.328
AL007,2022-01-01 03:30:00,9.433
AL007,2022-01-01 03:59:00,9.336
AL007,2022-01-01 04:30:00,8.998
AL007,2022-01-01 04:59:00,8.776
AL007,2022-01-01 05:30:00,7.968
AL007,2022-01-01 05:59:00,7.281
AL007,2022-01-01 06:30:00,6.963
AL007,2022-01-01 06:59:00,6.995
AL007,2022-01-01 07:30:00,6.911
AL007,2022-01-01 07:59:00,6.641
AL007,2022-01-01 08:30:00,6.201
AL007,2022-01-01 08:59:00,6.206
AL007,2022-01-01 09:30:00,6.423
AL007,2022-01-01 09:59:00,7.622
AL007,2022-01-01 10:30:00,9.463
AL007,2022-01-01 10:59:00,10.414
AL007,2022-01-01 11:30:00,11.374
AL007,2022-01-01 11:59:00,12.516
AL007,2022-01-01 12:30:00,13.022
AL007,2022-01-01 12:59:00,13.275
AL007,2022-01-01 13:30:00,13.366
AL007,2022-01-01 13:59:00,14.415
AL007,2022-01-01 14:30:00,15.39
AL007,2022-01-01 14:59:00,15.645
AL007,2022-01-01 15:30:00,15.632
AL007,2022-01-01 15:59:00,15.756
AL007,2022-01-01 16:30:00,15.14
AL007,2022-01-01 16:59:00,13.499
AL007,2022-01-01 17:30:00,12.372
AL007,2022-01-01 17:59:00,12.004
AL007,2022-01-01 18:30:00,11.71
AL007,2022-01-01 18:59:00,11.346
AL007,2022-01-01 19:30:00,10.799
AL007,2022-01-01 19:59:00,10.447
AL007,2022-01-01 20:30:00,10.519
AL007,2022-01-01 20:59:00,10.77
AL007,2022-01-01 21:30:00,10.664
AL007,2022-01-01 21:59:00,9.974
AL007,2022-01-01 22:30:00,9.054
AL007,2022-01-01 22:59:00,8.298
AL007,2022-01-01 23:30:00,7.89
AL007,2022-01-01 23:59:00,7.541
AL007,2022-01-02 00:30:00,7.438
AL007,2022-01-02 00:59:00,7.522
AL007,2022-01-02 01:30:00,7.488
AL007,2022-01-02 01:59:00,7.535
AL007,2022-01-02 02:30:00,7.82
AL007,2022-01-02 02:59:00,8.071
AL007,2022-01-02 03:30:00,8.263
AL007,2022-01-02 03:59:00,8.2
AL007,2022-01-02 04:30:00,8.079
AL007,2022-01-02 04:59:00,8.112
AL007,2022-01-02 05:30:00,8.209
AL007,2022-01-02 05:59:00,8.2
AL007,2022-01-02 06:30:00,8.255
AL007,2022-01-02 06:59:00,8.232
AL007,2022-01-02 07:30:00,8.234
AL007,2022-01-02 07:59:00,8.324
AL007,2022-01-02 08:30:00,8.339
AL007,2022-01-02 08:59:00,8.461
AL007,2022-01-02 09:30:00,8.594
AL007,2022-01-02 09:59:00,8.655
AL007,2022-01-02 10:30:00,8.67
AL007,2022-01-02 10:59:00,8.814
AL007,2022-01-02 11:30:00,9.044
AL007,2022-01-02 11:59:00,9.149
AL007,2022-01-02 12:30:00,9.272
AL007,2022-01-02 12:59:00,9.381
AL007,2022-01-02 13:30:00,9.392
