Station,Year,Month,Mean,Max,Min,Mode
AL007,2018,1,11.182021505376342,20.69,2.214,7.903
AL007,2018,2,8.021881688018086,17.043,-4.214,10.738
AL007,2018,3,11.48790255376344,20.476,1.362,9.985
AL007,2018,4,18.02188333333333,31.385,7.155,16.713
AL007,2018,5,20.628406532314106,33.321,11.768,15.775
AL007,2018,6,24.770800694444446,34.482,15.992,19.738
AL007,2018,7,28.305192876344087,38.52,19.516,23.48
AL007,2018,8,26.94356115591398,39.351,17.04,24.133
AL007,2018,9,23.194491203377904,32.413,11.437,22.982
AL007,2018,10,19.304117092866758,26.628,10.596,16.385
AL007,2018,11,13.920836111111111,20.886,6.14,14.107
AL007,2018,12,9.830643771043771,18.791,1.352,11.758
