Station,Year,Month,Mean,Max,Min,Mode
AL007,2021,1,8.092331279945244,17.05,-0.189,5.645
AL007,2021,2,11.601280806572069,23.458,-0.885,11.657
AL007,2021,3,11.517510989010988,25.503,1.904,10.541
AL007,2021,4,13.887002928257687,28.165,2.138,15.096
AL007,2021,5,19.09353888506538,30.932,9.173,18.623
AL007,2021,6,25.435252271139063,37.164,14.5,23.147
AL007,2021,7,27.94134529451591,37.627,18.785,26.482
AL007,2021,8,27.933373889268626,40.539,16.683,22.754
AL007,2021,9,24.344816472694717,33.588,16.743,29.908
AL007,2021,10,17.27529637096774,30.62,9.034,18.642
AL007,2021,11,14.324802521008403,26.633,3.048,11.128
AL007,2021,12,9.877925775978406,21.473,1.902,10.73
