Station,Year,Month,Mean,Max,Min,Mode
AL007,2013,1,8.648333080424887,17.383,1.057,4.52
AL007,2013,2,8.239770833333333,17.291,-0.411,3.033
AL007,2013,3,12.108737804878048,24.841,1.7,11.251
AL007,2013,4,17.177874357090374,30.288,7.941,11.957
AL007,2013,5,17.906406586021504,27.452,9.371,16.936
AL007,2013,6,22.177445855115757,34.246,12.839,14.35
AL007,2013,7,25.702890456989245,35.594,16.746,25.86
AL007,2013,8,26.511698423577794,37.312,18.864,21.737
AL007,2013,9,22.02483611111111,31.644,14.72,17.876
AL007,2013,11,13.053358956276446,22.958,0.761,7.883
AL007,2013,12,9.44196438172043,19.413,1.151,5.428
