Station,Year,Month,Mean,Max,Min,Mode
AL007,2021,1,0.032991803278688524,2.9,0.0,0.0
AL007,2021,2,0.010828976848394324,2.4,0.0,0.0
AL007,2021,3,0.015543328748280604,3.7,0.0,0.0
AL007,2021,4,0.07359180687637161,14.3,0.0,0.0
AL007,2021,5,0.008665749656121045,2.1,0.0,0.0
AL007,2021,6,0.02744413407821229,21.0,0.0,0.0
AL007,2021,7,0.002435723951285521,1.7,0.0,0.0
AL007,2021,8,0.011073137388926861,5.9,0.0,0.0
AL007,2021,9,0.0059742647058823525,6.5,0.0,0.0
AL007,2021,10,0.01827956989247312,7.6,0.0,0.0
AL007,2021,11,0.14775910364145659,19.9,0.0,0.0
AL007,2021,12,0.06475741239892183,6.6,0.0,0.0
