cod_staz,date,T
AL007,2023-01-01 00:30:00,11.842
AL007,2023-01-01 00:59:00,11.547
AL007,2023-01-01 01:30:00,11.52
AL007,2023-01-01 01:59:00,11.716
AL007,2023-01-01 02:30:00,11.776
AL007,2023-01-01 02:59:00,11.479
AL007,2023-01-01 03:30:00,10.944
AL007,2023-01-01 03:59:00,10.448
AL007,2023-01-01 04:30:00,9.862
AL007,2023-01-01 04:59:00,9.693
AL007,2023-01-01 05:30:00,9.757
AL007,2023-01-01 05:59:00,9.865
AL007,2023-01-01 06:30:00,9.681
AL007,2023-01-01 06:59:00,9.463
AL007,2023-01-01 07:30:00,9.137
AL007,2023-01-01 07:59:00,8.624
AL007,2023-01-01 08:30:00,8.732
AL007,2023-01-01 08:59:00,10.021
AL007,2023-01-01 09:30:00,11.274
AL007,2023-01-01 09:59:00,11.283
AL007,2023-01-01 10:30:00,12.231
AL007,2023-01-01 10:59:00,13.61
AL007,2023-01-01 11:30:00,14.568
AL007,2023-01-01 11:59:00,15.423
AL007,2023-01-01 12:30:00,15.047
AL007,2023-01-01 12:59:00,16.111
AL007,2023-01-01 13:30:00,17.146
AL007,2023-01-01 13:59:00,17.942
AL007,2023-01-01 14:30:00,19.412
AL007,2023-01-01 14:59:00,19.771
AL007,2023-01-01 15:30:00,19.919
AL007,2023-01-01 15:59:00,18.939
AL007,2023-01-01 16:30:00,16.958
AL007,2023-01-01 16:59:00,16.212
AL007,2023-01-01 17:30:00,15.981
AL007,2023-01-01 17:59:00,15.792
AL007,2023-01-01 18:30:00,15.514
AL007,2023-01-01 18:59:00,15.256
AL007,2023-01-01 19:30:00,15.179
AL007,2023-01-01 19:59:00,14.952
AL007,2023-01-01 20:30:00,14.565
AL007,2023-01-01 20:59:00,14.107
AL007,2023-01-01 21:30:00,13.931
AL007,2023-01-01 21:59:00,14.078
AL007,2023-01-01 22:30:00,13.964
AL007,2023-01-01 22:59:00,13.554
AL007,2023-01-01 23:30:00,13.363
AL007,2023-01-01 23:59:00,12.97
AL007,2023-01-02 00:30:00,12.456
AL007,2023-01-02 00:59:00,11.971
AL007,2023-01-02 01:30:00,11.601
AL007,2023-01-02 01:59:00,11.833
AL007,2023-01-02 02:30:00,12.072
AL007,2023-01-02 02:59:00,11.692
AL007,2023-01-02 03:30:00,11.221
AL007,2023-01-02 03:59:00,10.699
AL007,2023-01-02 04:30:00,10.254
AL007,2023-01-02 04:59:00,9.934
AL007,2023-01-02 05:30:00,9.688
AL007,2023-01-02 05:59:00,9.583
AL007,2023-01-02 06:30:00,9.341
AL007,2023-01-02 06:59:00,9.198
AL007,2023-01-02 07:30:00,9.425
AL007,2023-01-02 07:59:00,9.721
AL007,2023-01-02 08:30:00,10.024
AL007,2023-01-02 08:59:00,9.938
AL007,2023-01-02 09:30:00,10.163
AL007,2023-01-02 09:59:00,10.474
AL007,2023-01-02 10:30:00,10.925
AL007,2023-01-02 10:59:00,11.636
AL007,2023-01-02 11:30:00,12.088
AL007,2023-01-02 11:59:00,12.436
AL007,2023-01-02 12:30:00,12.873
