cod_staz,date,T
AL007,2017-01-01 00:30:00,4.265
AL007,2017-01-01 00:59:00,3.645
AL007,2017-01-01 01:30:00,3.484
AL007,2017-01-01 01:59:00,3.222
AL007,2017-01-01 02:30:00,3.002
AL007,2017-01-01 02:59:00,2.592
AL007,2017-01-01 03:30:00,2.402
AL007,2017-01-01 03:59:00,2.567
AL007,2017-01-01 04:30:00,2.511
AL007,2017-01-01 04:59:00,1.995
AL007,2017-01-01 05:30:00,1.499
AL007,2017-01-01 05:59:00,1.367
AL007,2017-01-01 06:30:00,1.095
AL007,2017-01-01 06:59:00,0.895
AL007,2017-01-01 07:30:00,0.677
AL007,2017-01-01 07:59:00,0.691
AL007,2017-01-01 08:30:00,1.001
AL007,2017-01-01 08:59:00,1.241
AL007,2017-01-01 09:30:00,1.745
AL007,2017-01-01 09:59:00,2.557
AL007,2017-01-01 10:30:00,3.736
AL007,2017-01-01 10:59:00,4.72
AL007,2017-01-01 11:30:00,5.848
AL007,2017-01-01 11:59:00,7.011
AL007,2017-01-01 12:30:00,8.138
AL007,2017-01-01 12:59:00,9.127
AL007,2017-01-01 13:30:00,9.988
AL007,2017-01-01 13:59:00,10.584
AL007,2017-01-01 14:30:00,10.955
AL007,2017-01-01 14:59:00,11.372
AL007,2017-01-01 15:30:00,11.524
AL007,2017-01-01 15:59:00,11.431
AL007,2017-01-01 16:30:00,11.18
AL007,2017-01-01 16:59:00,10.864
AL007,2017-01-01 17:30:00,10.588
AL007,2017-01-01 17:59:00,10.27
AL007,2017-01-01 18:30:00,9.771
AL007,2017-01-01 18:59:00,8.798
AL007,2017-01-01 19:30:00,8.099
AL007,2017-01-01 19:59:00,7.104
AL007,2017-01-01 20:30:00,6.589
AL007,2017-01-01 20:59:00,6.13
AL007,2017-01-01 21:30:00,4.853
AL007,2017-01-01 21:59:00,4.707
AL007,2017-01-01 22:30:00,4.628
AL007,2017-01-01 22:59:00,3.818
AL007,2017-01-01 23:30:00,3.479
AL007,2017-01-01 23:59:00,3.362
AL007,2017-01-02 00:30:00,2.981
AL007,2017-01-02 00:59:00,2.588
AL007,2017-01-02 01:30:00,2.569
AL007,2017-01-02 01:59:00,2.063
AL007,2017-01-02 02:30:00,1.897
AL007,2017-01-02 02:59:00,1.977
AL007,2017-01-02 03:30:00,1.504
AL007,2017-01-02 03:59:00,1.964
AL007,2017-01-02 04:30:00,2.174
AL007,2017-01-02 04:59:00,0.868
AL007,2017-01-02 05:30:00,1.818
AL007,2017-01-02 05:59:00,1.832
AL007,2017-01-02 06:30:00,1.354
AL007,2017-01-02 06:59:00,1.341
AL007,2017-01-02 07:30:00,1.811
AL007,2017-01-02 07:59:00,2.37
AL007,2017-01-02 08:30:00,2.515
AL007,2017-01-02 08:59:00,2.653
AL007,2017-01-02 09:30:00,3.508
AL007,2017-01-02 09:59:00,4.461
AL007,2017-01-02 10:30:00,5.333
AL007,2017-01-02 10:59:00,6.699
AL007,2017-01-02 11:30:00,7.875
AL007,2017-01-02 11:59:00,8.78
AL007,2017-01-02 12:30:00,8.829
AL007,2017-01-02 12:59:00,9.424
AL007,2017-01-02 13:30:00,10.825
AL007,2017-01-02 13:59:00,11.5
AL007,2017-01-02 14:30:00,12.228
AL007,2017-01-02 14:59:00,12.658
AL007,2017-01-02 15:30:00,12.704
AL007,2017-01-02 15:59:00,12.638
AL007,2017-01-02 16:30:00,12.531
AL007,2017-01-02 16:59:00,12.025
AL007,2017-01-02 17:30:00,11.522
AL007,2017-01-02 17:59:00,10.601
AL007,2017-01-02 18:30:00,10.868
AL007,2017-01-02 18:59:00,11.138
AL007,2017-01-02 19:30:00,10.882
AL007,2017-01-02 19:59:00,10.561
AL007,2017-01-02 20:30:00,10.475
AL007,2017-01-02 20:59:00,10.278
AL007,2017-01-02 21:30:00,9.89
AL007,2017-01-02 21:59:00,9.925
AL007,2017-01-02 22:30:00,9.574
AL007,2017-01-02 22:59:00,9.333
AL007,2017-01-02 23:30:00,9.436
AL007,2017-01-02 23:59:00,9.751
AL007,2017-01-03 00:30:00,9.822
AL007,2017-01-03 00:59:00,10.048
AL007,2017-01-03 01:30:00,10.073
AL007,2017-01-03 01:59:00,10.021
AL007,2017-01-03 02:30:00,9.973
AL007,2017-01-03 02:59:00,9.995
AL007,2017-01-03 03:30:00,9.777
AL007,2017-01-03 03:59:00,9.769
AL007,2017-01-03 04:30:00,9.83
AL007,2017-01-03 04:59:00,10.433
AL007,2017-01-03 05:30:00,10.815
AL007,2017-01-03 05:59:00,10.89
AL007,2017-01-03 06:30:00,10.847
AL007,2017-01-03 06:59:00,10.871
