cod_staz,date,T
AL007,2016-01-01 00:30:00,7.554
AL007,2016-01-01 00:59:00,7.57
AL007,2016-01-01 01:30:00,7.42
AL007,2016-01-01 01:59:00,7.458
AL007,2016-01-01 02:30:00,7.533
AL007,2016-01-01 02:59:00,7.519
AL007,2016-01-01 03:30:00,7.563
AL007,2016-01-01 03:59:00,7.713
AL007,2016-01-01 04:30:00,7.467
AL007,2016-01-01 04:59:00,7.021
AL007,2016-01-01 05:30:00,7.097
AL007,2016-01-01 05:59:00,6.975
AL007,2016-01-01 06:30:00,6.877
AL007,2016-01-01 06:59:00,6.839
AL007,2016-01-01 07:30:00,6.861
AL007,2016-01-01 07:59:00,6.87
AL007,2016-01-01 08:30:00,6.652
AL007,2016-01-01 08:59:00,6.5
AL007,2016-01-01 09:30:00,6.788
AL007,2016-01-01 09:59:00,6.959
AL007,2016-01-01 10:30:00,7.039
AL007,2016-01-01 10:59:00,7.149
AL007,2016-01-01 11:30:00,7.848
AL007,2016-01-01 11:59:00,8.392
AL007,2016-01-01 12:30:00,8.773
AL007,2016-01-01 12:59:00,9.104
AL007,2016-01-01 13:30:00,9.382
AL007,2016-01-01 13:59:00,9.633
AL007,2016-01-01 14:30:00,9.872
AL007,2016-01-01 14:59:00,10.156
AL007,2016-01-01 15:30:00,10.268
AL007,2016-01-01 15:59:00,10.313
AL007,2016-01-01 16:30:00,10.134
AL007,2016-01-01 16:59:00,9.991
AL007,2016-01-01 17:30:00,9.959
AL007,2016-01-01 17:59:00,10.11
AL007,2016-01-01 18:30:00,10.034
AL007,2016-01-01 18:59:00,9.92
AL007,2016-01-01 19:30:00,9.695
AL007,2016-01-01 19:59:00,9.613
AL007,2016-01-01 20:30:00,9.322
AL007,2016-01-01 20:59:00,9.068
AL007,2016-01-01 21:30:00,8.9
AL007,2016-01-01 21:59:00,8.766
AL007,2016-01-01 22:30:00,8.68
AL007,2016-01-01 22:59:00,8.665
AL007,2016-01-01 23:30:00,8.652
AL007,2016-01-01 23:59:00,8.579
AL007,2016-01-02 00:30:00,8.632
AL007,2016-01-02 00:59:00,8.502
AL007,2016-01-02 01:30:00,8.3
AL007,2016-01-02 01:59:00,8.036
AL007,2016-01-02 02:30:00,7.589
AL007,2016-01-02 02:59:00,7.483
AL007,2016-01-02 03:30:00,7.491
AL007,2016-01-02 03:59:00,7.459
AL007,2016-01-02 04:30:00,7.647
AL007,2016-01-02 04:59:00,8.066
AL007,2016-01-02 05:30:00,8.241
AL007,2016-01-02 05:59:00,8.374
AL007,2016-01-02 06:30:00,8.453
AL007,2016-01-02 06:59:00,8.586
AL007,2016-01-02 07:30:00,8.71
AL007,2016-01-02 07:59:00,8.748
AL007,2016-01-02 08:30:00,8.378
AL007,2016-01-02 08:59:00,8.426
AL007,2016-01-02 09:30:00,8.152
AL007,2016-01-02 09:59:00,7.959
AL007,2016-01-02 10:30:00,7.841
AL007,2016-01-02 10:59:00,8.23
AL007,2016-01-02 11:30:00,8.505
AL007,2016-01-02 11:59:00,8.463
AL007,2016-01-02 12:30:00,8.637
AL007,2016-01-02 12:59:00,8.872
AL007,2016-01-02 13:30:00,8.718
AL007,2016-01-02 13:59:00,9.022
AL007,2016-01-02 14:30:00,9.326
AL007,2016-01-02 14:59:00,9.615
AL007,2016-01-02 15:30:00,10.119
AL007,2016-01-02 15:59:00,10.546
AL007,2016-01-02 16:30:00,10.618
AL007,2016-01-02 16:59:00,10.532
AL007,2016-01-02 17:30:00,10.305
AL007,2016-01-02 17:59:00,10.17
AL007,2016-01-02 18:30:00,10.906
AL007,2016-01-02 18:59:00,11.162
AL007,2016-01-02 19:30:00,12.333
AL007,2016-01-02 19:59:00,12.501
AL007,2016-01-02 20:30:00,12.699
AL007,2016-01-02 20:59:00,12.805
AL007,2016-01-02 21:30:00,12.967
AL007,2016-01-02 21:59:00,13.142
AL007,2016-01-02 22:30:00,13.202
AL007,2016-01-02 22:59:00,13.26
AL007,2016-01-02 23:30:00,13.321
AL007,2016-01-02 23:59:00,13.377
AL007,2016-01-03 00:30:00,13.608
AL007,2016-01-03 00:59:00,13.716
AL007,2016-01-03 01:30:00,13.622
AL007,2016-01-03 01:59:00,13.826
AL007,2016-01-03 02:30:00,13.785
AL007,2016-01-03 02:59:00,13.643
AL007,2016-01-03 03:30:00,13.522
AL007,2016-01-03 03:59:00,13.408
AL007,2016-01-03 04:30:00,12.977
AL007,2016-01-03 04:59:00,12.446
AL007,2016-01-03 05:30:00,12.057
AL007,2016-01-03 05:59:00,11.929
AL007,2016-01-03 06:30:00,11.858
AL007,2016-01-03 06:59:00,11.843
AL007,2016-01-03 07:30:00,11.701
AL007,2016-01-03 07:59:00,11.332
AL007,2016-01-03 08:30:00,11.086
AL007,2016-01-03 08:59:00,11.127
AL007,2016-01-03 09:30:00,11.315
AL007,2016-01-03 09:59:00,12.0
AL007,2016-01-03 10:30:00,12.374
AL007,2016-01-03 10:59:00,12.977
AL007,2016-01-03 11:30:00,13.325
AL007,2016-01-03 11:59:00,13.433
AL007,2016-01-03 12:30:00,13.736
AL007,2016-01-03 12:59:00,14.353
AL007,2016-01-03 13:30:00,13.418
AL007,2016-01-03 13:59:00,12.718
AL007,2016-01-03 14:30:00,12.777
AL007,2016-01-03 14:59:00,12.64
AL007,2016-01-03 15:30:00,12.26
AL007,2016-01-03 15:59:00,11.859
AL007,2016-01-03 16:30:00,11.528
AL007,2016-01-03 16:59:00,10.991
AL007,2016-01-03 17:30:00,10.71
AL007,2016-01-03 17:59:00,10.429
AL007,2016-01-03 18:30:00,10.007
AL007,2016-01-03 18:59:00,9.472
AL007,2016-01-03 19:30:00,9.155
AL007,2016-01-03 19:59:00,8.828
AL007,2016-01-03 20:30:00,8.648
AL007,2016-01-03 20:59:00,8.474
AL007,2016-01-03 21:30:00,8.257
AL007,2016-01-03 21:59:00,8.029
AL007,2016-01-03 22:30:00,7.911
AL007,2016-01-03 22:59:00,7.813
AL007,2016-01-03 23:30:00,7.706
AL007,2016-01-03 23:59:00,7.121
AL007,2016-01-04 00:30:00,6.584
AL007,2016-01-04 00:59:00,6.74
AL007,2016-01-04 01:30:00,6.759
AL007,2016-01-04 01:59:00,6.975
AL007,2016-01-04 02:30:00,6.893
AL007,2016-01-04 02:59:00,7.053
AL007,2016-01-04 03:30:00,6.889
AL007,2016-01-04 03:59:00,6.72
AL007,2016-01-04 04:30:00,6.131
AL007,2016-01-04 04:59:00,6.113
AL007,2016-01-04 05:30:00,6.435
AL007,2016-01-04 05:59:00,6.634
AL007,2016-01-04 06:30:00,7.443
AL007,2016-01-04 06:59:00,8.081
AL007,2016-01-04 07:30:00,8.722
AL007,2016-01-04 07:59:00,9.79
AL007,2016-01-04 08:30:00,9.843
AL007,2016-01-04 08:59:00,10.016
AL007,2016-01-04 09:30:00,10.221
AL007,2016-01-04 09:59:00,10.461
AL007,2016-01-04 10:30:00,10.41
AL007,2016-01-04 10:59:00,10.4
AL007,2016-01-04 11:30:00,11.66
AL007,2016-01-04 11:59:00,11.86
AL007,2016-01-04 12:30:00,12.017
AL007,2016-01-04 12:59:00,12.349
AL007,2016-01-04 13:30:00,12.934
AL007,2016-01-04 13:59:00,11.472
AL007,2016-01-04 14:30:00,11.673
AL007,2016-01-04 14:59:00,12.278
AL007,2016-01-04 15:30:00,12.869
AL007,2016-01-04 15:59:00,13.643
AL007,2016-01-04 16:30:00,13.795
AL007,2016-01-04 16:59:00,13.834
AL007,2016-01-04 17:30:00,13.623
AL007,2016-01-04 17:59:00,13.342
AL007,2016-01-04 18:30:00,13.079
AL007,2016-01-04 18:59:00,12.805
AL007,2016-01-04 19:30:00,12.768
AL007,2016-01-04 19:59:00,12.772
AL007,2016-01-04 20:30:00,12.589
AL007,2016-01-04 20:59:00,11.985
AL007,2016-01-04 21:30:00,11.569
AL007,2016-01-04 21:59:00,11.753
AL007,2016-01-04 22:30:00,11.469
AL007,2016-01-04 22:59:00,11.06
AL007,2016-01-04 23:30:00,11.051
AL007,2016-01-04 23:59:00,10.929
AL007,2016-01-05 00:30:00,10.58
AL007,2016-01-05 00:59:00,10.109
AL007,2016-01-05 01:30:00,10.409
AL007,2016-01-05 01:59:00,10.517
AL007,2016-01-05 02:30:00,10.365
AL007,2016-01-05 02:59:00,10.202
AL007,2016-01-05 03:30:00,10.192
AL007,2016-01-05 03:59:00,10.796
AL007,2016-01-05 04:30:00,11.232
AL007,2016-01-05 04:59:00,11.448
AL007,2016-01-05 05:30:00,11.304
AL007,2016-01-05 05:59:00,10.659
AL007,2016-01-05 06:30:00,11.103
AL007,2016-01-05 06:59:00,10.878
AL007,2016-01-05 07:30:00,10.67
AL007,2016-01-05 07:59:00,10.799
AL007,2016-01-05 08:30:00,11.058
AL007,2016-01-05 08:59:00,11.154
AL007,2016-01-05 09:30:00,11.111
AL007,2016-01-05 09:59:00,11.119
AL007,2016-01-05 10:30:00,11.095
AL007,2016-01-05 10:59:00,10.94
AL007,2016-01-05 11:30:00,11.096
AL007,2016-01-05 11:59:00,11.391
AL007,2016-01-05 12:30:00,11.613
AL007,2016-01-05 12:59:00,11.893
AL007,2016-01-05 13:30:00,11.791
AL007,2016-01-05 13:59:00,11.613
AL007,2016-01-05 14:30:00,11.91
AL007,2016-01-05 14:59:00,12.175
AL007,2016-01-05 15:30:00,12.235
AL007,2016-01-05 15:59:00,12.085
AL007,2016-01-05 16:30:00,12.044
AL007,2016-01-05 16:59:00,11.987
AL007,2016-01-05 17:30:00,11.942
AL007,2016-01-05 17:59:00,11.958
AL007,2016-01-05 18:30:00,11.991
AL007,2016-01-05 18:59:00,11.901
AL007,2016-01-05 19:30:00,12.01
AL007,2016-01-05 19:59:00,11.954
AL007,2016-01-05 20:30:00,11.866
AL007,2016-01-05 20:59:00,11.914
AL007,2016-01-05 21:30:00,11.808
AL007,2016-01-05 21:59:00,12.019
AL007,2016-01-05 22:30:00,11.956
AL007,2016-01-05 22:59:00,11.4
AL007,2016-01-05 23:30:00,11.557
AL007,2016-01-05 23:59:00,11.663
AL007,2016-01-06 00:30:00,11.457
AL007,2016-01-06 00:59:00,11.147
AL007,2016-01-06 01:30:00,11.055
AL007,2016-01-06 01:59:00,10.542
AL007,2016-01-06 02:30:00,10.458
AL007,2016-01-06 02:59:00,10.567
AL007,2016-01-06 03:30:00,10.456
AL007,2016-01-06 03:59:00,10.561
AL007,2016-01-06 04:30:00,10.708
AL007,2016-01-06 04:59:00,10.845
AL007,2016-01-06 05:30:00,11.161
AL007,2016-01-06 05:59:00,11.421
AL007,2016-01-06 06:30:00,11.331
AL007,2016-01-06 06:59:00,11.272
AL007,2016-01-06 07:30:00,11.27
AL007,2016-01-06 07:59:00,11.17
AL007,2016-01-06 08:30:00,11.255
AL007,2016-01-06 08:59:00,11.1
AL007,2016-01-06 09:30:00,11.248
AL007,2016-01-06 09:59:00,11.81
AL007,2016-01-06 10:30:00,12.08
AL007,2016-01-06 10:59:00,12.702
AL007,2016-01-06 11:30:00,12.763
AL007,2016-01-06 11:59:00,12.734
AL007,2016-01-06 12:30:00,12.062
AL007,2016-01-06 12:59:00,12.658
AL007,2016-01-06 13:30:00,12.393
AL007,2016-01-06 13:59:00,10.522
AL007,2016-01-06 14:30:00,9.32
AL007,2016-01-06 14:59:00,8.985
AL007,2016-01-06 15:30:00,8.97
AL007,2016-01-06 15:59:00,8.823
AL007,2016-01-06 16:30:00,9.072
AL007,2016-01-06 16:59:00,9.275
AL007,2016-01-06 17:30:00,9.156
AL007,2016-01-06 17:59:00,8.978
AL007,2016-01-06 18:30:00,8.647
AL007,2016-01-06 18:59:00,8.607
AL007,2016-01-06 19:30:00,8.9
AL007,2016-01-06 19:59:00,8.722
AL007,2016-01-06 20:30:00,8.922
AL007,2016-01-06 20:59:00,8.689
AL007,2016-01-06 21:30:00,8.133
AL007,2016-01-06 21:59:00,8.208
AL007,2016-01-06 22:30:00,8.004
AL007,2016-01-06 22:59:00,7.748
AL007,2016-01-06 23:30:00,7.683
AL007,2016-01-06 23:59:00,7.907
AL007,2016-01-07 00:30:00,7.644
AL007,2016-01-07 00:59:00,7.078
AL007,2016-01-07 01:30:00,7.289
AL007,2016-01-07 01:59:00,7.293
AL007,2016-01-07 02:30:00,7.106
AL007,2016-01-07 02:59:00,6.762
AL007,2016-01-07 03:30:00,6.402
AL007,2016-01-07 03:59:00,6.336
AL007,2016-01-07 04:30:00,6.437
AL007,2016-01-07 04:59:00,6.252
AL007,2016-01-07 05:30:00,5.74
AL007,2016-01-07 05:59:00,5.701
AL007,2016-01-07 06:30:00,5.307
AL007,2016-01-07 06:59:00,5.221
AL007,2016-01-07 07:30:00,5.135
AL007,2016-01-07 07:59:00,5.111
AL007,2016-01-07 08:30:00,4.956
AL007,2016-01-07 08:59:00,5.051
