cod_staz,date,T
AL007,2020-01-01 00:30:00,4.41
AL007,2020-01-01 00:59:00,3.757
AL007,2020-01-01 01:30:00,3.281
AL007,2020-01-01 01:59:00,3.594
AL007,2020-01-01 02:30:00,3.365
AL007,2020-01-01 02:59:00,2.68
AL007,2020-01-01 03:30:00,2.77
AL007,2020-01-01 03:59:00,2.795
AL007,2020-01-01 04:30:00,2.83
AL007,2020-01-01 04:59:00,2.458
AL007,2020-01-01 05:30:00,2.203
AL007,2020-01-01 05:59:00,2.317
AL007,2020-01-01 06:30:00,2.165
AL007,2020-01-01 06:59:00,2.003
AL007,2020-01-01 07:30:00,2.705
AL007,2020-01-01 07:59:00,2.236
AL007,2020-01-01 08:30:00,1.972
AL007,2020-01-01 08:59:00,2.76
AL007,2020-01-01 09:30:00,3.292
AL007,2020-01-01 09:59:00,3.813
AL007,2020-01-01 10:30:00,5.096
AL007,2020-01-01 10:59:00,6.192
AL007,2020-01-01 11:30:00,7.26
AL007,2020-01-01 11:59:00,8.236
AL007,2020-01-01 12:30:00,9.301
AL007,2020-01-01 12:59:00,10.248
AL007,2020-01-01 13:30:00,11.146
AL007,2020-01-01 13:59:00,11.881
AL007,2020-01-01 14:30:00,12.188
AL007,2020-01-01 14:59:00,12.55
AL007,2020-01-01 15:30:00,12.712
AL007,2020-01-01 15:59:00,12.696
AL007,2020-01-01 16:30:00,12.631
AL007,2020-01-01 16:59:00,12.295
AL007,2020-01-01 17:30:00,11.685
AL007,2020-01-01 17:59:00,11.062
AL007,2020-01-01 18:30:00,10.786
AL007,2020-01-01 18:59:00,10.646
AL007,2020-01-01 19:30:00,9.846
AL007,2020-01-01 19:59:00,8.464
AL007,2020-01-01 20:30:00,8.007
AL007,2020-01-01 20:59:00,7.27
AL007,2020-01-01 21:30:00,6.806
AL007,2020-01-01 21:59:00,6.367
AL007,2020-01-01 22:30:00,6.023
AL007,2020-01-01 22:59:00,5.614
AL007,2020-01-01 23:30:00,5.603
AL007,2020-01-01 23:59:00,5.347
AL007,2020-01-02 00:30:00,5.223
AL007,2020-01-02 00:59:00,5.217
AL007,2020-01-02 01:30:00,5.52
AL007,2020-01-02 01:59:00,5.355
AL007,2020-01-02 02:30:00,4.696
AL007,2020-01-02 02:59:00,4.505
AL007,2020-01-02 03:30:00,4.602
AL007,2020-01-02 03:59:00,4.874
AL007,2020-01-02 04:30:00,4.9
AL007,2020-01-02 04:59:00,5.003
AL007,2020-01-02 05:30:00,4.434
AL007,2020-01-02 05:59:00,4.373
AL007,2020-01-02 06:30:00,4.294
AL007,2020-01-02 06:59:00,4.292
AL007,2020-01-02 07:30:00,4.222
AL007,2020-01-02 07:59:00,4.093
AL007,2020-01-02 08:30:00,4.26
AL007,2020-01-02 08:59:00,4.634
AL007,2020-01-02 09:30:00,4.718
AL007,2020-01-02 09:59:00,5.872
AL007,2020-01-02 10:30:00,7.068
AL007,2020-01-02 10:59:00,8.096
AL007,2020-01-02 11:30:00,9.194
AL007,2020-01-02 11:59:00,10.127
AL007,2020-01-02 12:30:00,10.82
AL007,2020-01-02 12:59:00,11.44
AL007,2020-01-02 13:30:00,12.08
AL007,2020-01-02 13:59:00,12.607
AL007,2020-01-02 14:30:00,13.04
AL007,2020-01-02 14:59:00,13.286
AL007,2020-01-02 15:30:00,13.361
AL007,2020-01-02 15:59:00,13.386
AL007,2020-01-02 16:30:00,13.243
AL007,2020-01-02 16:59:00,12.861
