cod_staz,date,T
AL007,2018-01-01 00:30:00,10.492
AL007,2018-01-01 00:59:00,10.119
AL007,2018-01-01 01:30:00,10.042
AL007,2018-01-01 01:59:00,9.949
AL007,2018-01-01 02:30:00,9.910
AL007,2018-01-01 02:59:00,10.348
AL007,2018-01-01 03:30:00,10.276
AL007,2018-01-01 03:59:00,10.148
AL007,2018-01-01 04:30:00,10.275
AL007,2018-01-01 04:59:00,10.387
AL007,2018-01-01 05:30:00,10.503
AL007,2018-01-01 05:59:00,10.673
AL007,2018-01-01 06:30:00,11.865
AL007,2018-01-01 06:59:00,12.941
AL007,2018-01-01 07:30:00,13.240
AL007,2018-01-01 07:59:00,13.396
AL007,2018-01-01 08:30:00,13.284
AL007,2018-01-01 08:59:00,13.039
AL007,2018-01-01 09:30:00,12.708
AL007,2018-01-01 09:59:00,12.901
AL007,2018-01-01 10:30:00,13.013
AL007,2018-01-01 10:59:00,13.334
AL007,2018-01-01 11:30:00,13.585
AL007,2018-01-01 11:59:00,13.592
AL007,2018-01-01 12:30:00,13.184
AL007,2018-01-01 12:59:00,12.934
AL007,2018-01-01 13:30:00,13.032
AL007,2018-01-01 13:59:00,12.963
AL007,2018-01-01 14:30:00,13.033
AL007,2018-01-01 14:59:00,13.041
AL007,2018-01-01 15:30:00,13.091
AL007,2018-01-01 15:59:00,12.729
AL007,2018-01-01 16:30:00,12.589
AL007,2018-01-01 16:59:00,12.403
AL007,2018-01-01 17:30:00,12.146
AL007,2018-01-01 17:59:00,12.113
AL007,2018-01-01 18:30:00,11.943
AL007,2018-01-01 18:59:00,11.589
AL007,2018-01-01 19:30:00,11.488
AL007,2018-01-01 19:59:00,11.554
AL007,2018-01-01 20:30:00,11.538
AL007,2018-01-01 20:59:00,11.474
AL007,2018-01-01 21:30:00,11.420
AL007,2018-01-01 21:59:00,11.026
AL007,2018-01-01 22:30:00,10.056
AL007,2018-01-01 22:59:00,9.973
AL007,2018-01-01 23:30:00,10.047
AL007,2018-01-01 23:59:00,10.523
AL007,2018-01-02 00:30:00,10.323
AL007,2018-01-02 00:59:00,9.892
AL007,2018-01-02 01:30:00,10.173
AL007,2018-01-02 01:59:00,10.509
AL007,2018-01-02 02:30:00,10.154
AL007,2018-01-02 02:59:00,10.929
AL007,2018-01-02 03:30:00,11.406
AL007,2018-01-02 03:59:00,11.046
