cod_staz,date,T
AL007,2013-01-01 00:30:00,4.302
AL007,2013-01-01 00:59:00,3.967
AL007,2013-01-01 01:30:00,3.86
AL007,2013-01-01 01:59:00,3.595
AL007,2013-01-01 02:30:00,3.304
AL007,2013-01-01 02:59:00,3.011
AL007,2013-01-01 03:30:00,2.918
AL007,2013-01-01 03:59:00,2.876
AL007,2013-01-01 04:30:00,2.767
AL007,2013-01-01 04:59:00,2.594
AL007,2013-01-01 05:30:00,2.478
AL007,2013-01-01 05:59:00,2.364
AL007,2013-01-01 06:30:00,2.129
AL007,2013-01-01 06:59:00,2.021
AL007,2013-01-01 07:30:00,1.924
AL007,2013-01-01 07:59:00,1.835
AL007,2013-01-01 08:30:00,2.09
AL007,2013-01-01 08:59:00,3.286
AL007,2013-01-01 09:30:00,4.588
AL007,2013-01-01 09:59:00,6.02
AL007,2013-01-01 10:30:00,7.196
AL007,2013-01-01 10:59:00,8.961
AL007,2013-01-01 11:30:00,11.004
AL007,2013-01-01 11:59:00,10.938
AL007,2013-01-01 12:30:00,12.686
AL007,2013-01-01 12:59:00,12.702
AL007,2013-01-01 13:30:00,12.686
AL007,2013-01-01 13:59:00,13.123
AL007,2013-01-01 14:30:00,12.86
AL007,2013-01-01 14:59:00,12.652
AL007,2013-01-01 15:30:00,12.486
AL007,2013-01-01 15:59:00,12.168
AL007,2013-01-01 16:30:00,11.888
AL007,2013-01-01 16:59:00,11.3
AL007,2013-01-01 17:30:00,11.26
AL007,2013-01-01 17:59:00,11.364
AL007,2013-01-01 18:30:00,11.197
AL007,2013-01-01 18:59:00,11.158
AL007,2013-01-01 19:30:00,10.621
AL007,2013-01-01 19:59:00,10.002
AL007,2013-01-01 20:30:00,9.654
AL007,2013-01-01 20:59:00,9.742
AL007,2013-01-01 21:30:00,9.744
AL007,2013-01-01 21:59:00,9.08
AL007,2013-01-01 22:30:00,8.88
AL007,2013-01-01 22:59:00,8.945
AL007,2013-01-01 23:30:00,9.237
AL007,2013-01-01 23:59:00,9.296
AL007,2013-01-02 00:30:00,9.335
AL007,2013-01-02 00:59:00,9.549
AL007,2013-01-02 01:30:00,9.5
AL007,2013-01-02 01:59:00,9.49
AL007,2013-01-02 02:30:00,9.04
AL007,2013-01-02 02:59:00,8.833
AL007,2013-01-02 03:30:00,8.879
AL007,2013-01-02 03:59:00,8.901
AL007,2013-01-02 04:30:00,8.931
AL007,2013-01-02 04:59:00,8.933
AL007,2013-01-02 05:30:00,8.761
AL007,2013-01-02 05:59:00,8.787
AL007,2013-01-02 06:30:00,9.037
AL007,2013-01-02 06:59:00,8.998
AL007,2013-01-02 07:30:00,8.981
AL007,2013-01-02 07:59:00,9.128
AL007,2013-01-02 08:30:00,9.42
AL007,2013-01-02 08:59:00,9.803
AL007,2013-01-02 09:30:00,10.427
AL007,2013-01-02 09:59:00,11.381
AL007,2013-01-02 10:30:00,12.016
AL007,2013-01-02 10:59:00,12.985
AL007,2013-01-02 11:30:00,12.763
AL007,2013-01-02 11:59:00,13.022
AL007,2013-01-02 12:30:00,13.226
AL007,2013-01-02 12:59:00,13.476
AL007,2013-01-02 13:30:00,13.274
AL007,2013-01-02 13:59:00,13.188
AL007,2013-01-02 14:30:00,13.392
AL007,2013-01-02 14:59:00,13.465
AL007,2013-01-02 15:30:00,13.362
AL007,2013-01-02 15:59:00,12.899
AL007,2013-01-02 16:30:00,12.288
AL007,2013-01-02 16:59:00,11.767
AL007,2013-01-02 17:30:00,11.385
AL007,2013-01-02 17:59:00,11.345
AL007,2013-01-02 18:30:00,11.19
AL007,2013-01-02 18:59:00,11.02
AL007,2013-01-02 19:30:00,10.822
AL007,2013-01-02 19:59:00,10.888
AL007,2013-01-02 20:30:00,10.835
